Jurusan,Bidang,Deskripsi,Minat,Keywords,combined_text
Gizi,Kesehatan,"Jurusan ini mempelajari hubungan makanan, nutrisi, dan kesehatan tubuh. Mahasiswa belajar menyusun pola makan, analisis gizi, dan edukasi kesehatan untuk berbagai kelompok masyarakat.","suka kesehatan, suka biologi, komunikatif, peduli kesehatan, teliti, suka membantu orang, analitis, suka edukasi","nutrisi, pola makan, kesehatan masyarakat, gizi klinis, diet, metabolisme, pangan, konsultasi gizi","Jurusan ini mempelajari hubungan makanan, nutrisi, dan kesehatan tubuh. Mahasiswa belajar menyusun pola makan, analisis gizi, dan edukasi kesehatan untuk berbagai kelompok masyarakat. Jurusan ini cocok untuk kamu yang suka kesehatan, suka biologi, komunikatif, peduli kesehatan, teliti, suka membantu orang, analitis, suka edukasi. Topik utama yang dipelajari antara lain: nutrisi, pola makan, kesehatan masyarakat, gizi klinis, diet, metabolisme, pangan, konsultasi gizi."
Psikologi,Kesehatan,"Jurusan ini mempelajari perilaku manusia, emosi, proses berpikir, dan hubungan sosial. Mahasiswa banyak melakukan observasi, diskusi kasus, penelitian, dan memahami cara membantu individu maupun kelompok.","empati, komunikatif, suka memahami orang, observatif, suka penelitian, pendengar yang baik, kritis, suka analisis perilaku","perilaku manusia, kesehatan mental, konseling, psikologi perkembangan, penelitian sosial, observasi, emosi, hubungan sosial","Jurusan ini mempelajari perilaku manusia, emosi, proses berpikir, dan hubungan sosial. Mahasiswa banyak melakukan observasi, diskusi kasus, penelitian, dan memahami cara membantu individu maupun kelompok. Jurusan ini cocok untuk kamu yang empati, komunikatif, suka memahami orang, observatif, suka penelitian, pendengar yang baik, kritis, suka analisis perilaku. Topik utama yang dipelajari antara lain: perilaku manusia, kesehatan mental, konseling, psikologi perkembangan, penelitian sosial, observasi, emosi, hubungan sosial."
Kebidanan,Kesehatan,"Jurusan ini mempelajari kesehatan ibu dan anak, proses kehamilan, persalinan, serta perawatan bayi. Mahasiswa belajar melalui praktikum, simulasi, dan pelayanan kesehatan secara langsung.","empati, suka membantu orang, sabar, komunikatif, teliti, disiplin, suka kesehatan, peduli ibu dan anak","kehamilan, persalinan, kesehatan ibu, kesehatan bayi, pelayanan kebidanan, perawatan ibu, reproduksi, kesehatan keluarga","Jurusan ini mempelajari kesehatan ibu dan anak, proses kehamilan, persalinan, serta perawatan bayi. Mahasiswa belajar melalui praktikum, simulasi, dan pelayanan kesehatan secara langsung. Jurusan ini cocok untuk kamu yang empati, suka membantu orang, sabar, komunikatif, teliti, disiplin, suka kesehatan, peduli ibu dan anak. Topik utama yang dipelajari antara lain: kehamilan, persalinan, kesehatan ibu, kesehatan bayi, pelayanan kebidanan, perawatan ibu, reproduksi, kesehatan keluarga."
Kesehatan Masyarakat,Kesehatan,"Jurusan ini mempelajari upaya pencegahan penyakit dan peningkatan kesehatan masyarakat melalui edukasi, penelitian, dan program kesehatan. Mahasiswa belajar menganalisis masalah kesehatan dan membuat solusi berbasis data.","peduli kesehatan, komunikatif, suka penelitian, analitis, suka kerja lapangan, suka membantu masyarakat, kritis, suka analisis data","epidemiologi, promosi kesehatan, kesehatan lingkungan, statistik kesehatan, kebijakan kesehatan, kesehatan masyarakat, penelitian kesehatan, sanitasi","Jurusan ini mempelajari upaya pencegahan penyakit dan peningkatan kesehatan masyarakat melalui edukasi, penelitian, dan program kesehatan. Mahasiswa belajar menganalisis masalah kesehatan dan membuat solusi berbasis data. Jurusan ini cocok untuk kamu yang peduli kesehatan, komunikatif, suka penelitian, analitis, suka kerja lapangan, suka membantu masyarakat, kritis, suka analisis data. Topik utama yang dipelajari antara lain: epidemiologi, promosi kesehatan, kesehatan lingkungan, statistik kesehatan, kebijakan kesehatan, kesehatan masyarakat, penelitian kesehatan, sanitasi."
Keselamatan dan Kesehatan Kerja,Kesehatan,"Jurusan ini mempelajari keselamatan kerja, pencegahan kecelakaan, dan pengelolaan risiko di lingkungan kerja. Mahasiswa belajar menganalisis potensi bahaya dan menerapkan sistem keselamatan kerja.","teliti, disiplin, analitis, suka pemecahan masalah, suka lingkungan kerja aman, observatif, bertanggung jawab, suka manajemen risiko","keselamatan kerja, kesehatan kerja, manajemen risiko, identifikasi bahaya, ergonomi, audit keselamatan, kecelakaan kerja, lingkungan kerja","Jurusan ini mempelajari keselamatan kerja, pencegahan kecelakaan, dan pengelolaan risiko di lingkungan kerja. Mahasiswa belajar menganalisis potensi bahaya dan menerapkan sistem keselamatan kerja. Jurusan ini cocok untuk kamu yang teliti, disiplin, analitis, suka pemecahan masalah, suka lingkungan kerja aman, observatif, bertanggung jawab, suka manajemen risiko. Topik utama yang dipelajari antara lain: keselamatan kerja, kesehatan kerja, manajemen risiko, identifikasi bahaya, ergonomi, audit keselamatan, kecelakaan kerja, lingkungan kerja."
Ilmu Keperawatan,Kesehatan,"urusan ini mempelajari perawatan pasien, pelayanan kesehatan, dan pendampingan dalam proses pemulihan. Mahasiswa belajar melalui praktikum, simulasi, dan praktik klinis di fasilitas kesehatan.","empati, suka membantu orang, sabar, komunikatif, disiplin, teliti, suka kesehatan, mampu bekerja dalam tim","perawatan pasien, kesehatan klinis, tindakan keperawatan, pelayanan kesehatan, anatomi manusia, komunikasi pasien, praktik klinis, rehabilitasi pasien","urusan ini mempelajari perawatan pasien, pelayanan kesehatan, dan pendampingan dalam proses pemulihan. Mahasiswa belajar melalui praktikum, simulasi, dan praktik klinis di fasilitas kesehatan. Jurusan ini cocok untuk kamu yang empati, suka membantu orang, sabar, komunikatif, disiplin, teliti, suka kesehatan, mampu bekerja dalam tim. Topik utama yang dipelajari antara lain: perawatan pasien, kesehatan klinis, tindakan keperawatan, pelayanan kesehatan, anatomi manusia, komunikasi pasien, praktik klinis, rehabilitasi pasien."
Ilmu Politik,Sosial dan Humaniora,"Jurusan ini mempelajari sistem politik, kebijakan publik, kekuasaan, dan dinamika pemerintahan. Mahasiswa belajar menganalisis isu politik, perilaku masyarakat, serta proses pengambilan keputusan dalam negara.","kritis, suka diskusi, komunikatif, tertarik isu sosial dan politik, analitis, suka debat, observatif, suka membaca","politik, kebijakan publik, demokrasi, pemerintahan, partai politik, hubungan kekuasaan, analisis politik, sistem politik","Jurusan ini mempelajari sistem politik, kebijakan publik, kekuasaan, dan dinamika pemerintahan. Mahasiswa belajar menganalisis isu politik, perilaku masyarakat, serta proses pengambilan keputusan dalam negara. Jurusan ini cocok untuk kamu yang kritis, suka diskusi, komunikatif, tertarik isu sosial dan politik, analitis, suka debat, observatif, suka membaca. Topik utama yang dipelajari antara lain: politik, kebijakan publik, demokrasi, pemerintahan, partai politik, hubungan kekuasaan, analisis politik, sistem politik."
Filsafat,Sosial dan Humaniora,"Jurusan ini mempelajari pemikiran manusia, logika, etika, dan cara memahami berbagai persoalan secara mendalam. Mahasiswa banyak berdiskusi, membaca, dan menganalisis gagasan secara kritis.","kritis, suka berpikir mendalam, suka membaca, analitis, reflektif, suka diskusi, penasaran, terbuka pada ide baru","logika, etika, pemikiran kritis, filsafat ilmu, pemikiran manusia, argumentasi, teori pengetahuan, analisis konsep","Jurusan ini mempelajari pemikiran manusia, logika, etika, dan cara memahami berbagai persoalan secara mendalam. Mahasiswa banyak berdiskusi, membaca, dan menganalisis gagasan secara kritis. Jurusan ini cocok untuk kamu yang kritis, suka berpikir mendalam, suka membaca, analitis, reflektif, suka diskusi, penasaran, terbuka pada ide baru. Topik utama yang dipelajari antara lain: logika, etika, pemikiran kritis, filsafat ilmu, pemikiran manusia, argumentasi, teori pengetahuan, analisis konsep."
Kriminologi,Sosial dan Humaniora,"Jurusan ini mempelajari kejahatan, perilaku kriminal, serta faktor sosial yang memengaruhi tindakan kriminal. Mahasiswa belajar menganalisis kasus, penelitian sosial, dan sistem penegakan hukum.","analitis, suka penelitian, kritis, observatif, tertarik isu sosial, suka investigasi, komunikatif, suka analisis perilaku","kejahatan, kriminalitas, perilaku sosial, investigasi, hukum pidana, penelitian sosial, penyimpangan sosial, keamanan masyarakat","Jurusan ini mempelajari kejahatan, perilaku kriminal, serta faktor sosial yang memengaruhi tindakan kriminal. Mahasiswa belajar menganalisis kasus, penelitian sosial, dan sistem penegakan hukum. Jurusan ini cocok untuk kamu yang analitis, suka penelitian, kritis, observatif, tertarik isu sosial, suka investigasi, komunikatif, suka analisis perilaku. Topik utama yang dipelajari antara lain: kejahatan, kriminalitas, perilaku sosial, investigasi, hukum pidana, penelitian sosial, penyimpangan sosial, keamanan masyarakat."
Ilmu Hukum,Sosial dan Humaniora,"Jurusan ini mempelajari aturan hukum, sistem peradilan, dan penyelesaian masalah hukum di masyarakat. Mahasiswa banyak belajar analisis kasus, argumentasi, dan penerapan hukum dalam berbagai situasi.","kritis, suka membaca, analitis, komunikatif, suka debat, teliti, tegas, suka memecahkan masalah","hukum pidana, hukum perdata, peradilan, advokasi, kontrak hukum, hak asasi manusia, hukum bisnis, legal drafting","Jurusan ini mempelajari aturan hukum, sistem peradilan, dan penyelesaian masalah hukum di masyarakat. Mahasiswa banyak belajar analisis kasus, argumentasi, dan penerapan hukum dalam berbagai situasi. Jurusan ini cocok untuk kamu yang kritis, suka membaca, analitis, komunikatif, suka debat, teliti, tegas, suka memecahkan masalah. Topik utama yang dipelajari antara lain: hukum pidana, hukum perdata, peradilan, advokasi, kontrak hukum, hak asasi manusia, hukum bisnis, legal drafting."
Sosiologi,Sosial dan Humaniora,"Jurusan ini mempelajari masyarakat, interaksi sosial, budaya, dan berbagai fenomena sosial. Mahasiswa belajar melakukan observasi, penelitian, dan analisis terhadap perubahan sosial di masyarakat.","suka memahami masyarakat, komunikatif, observatif, kritis, suka penelitian, terbuka pada perbedaan, suka diskusi, analitis","masyarakat, interaksi sosial, penelitian sosial, perubahan sosial, budaya, perilaku sosial, fenomena sosial, analisis sosial","Jurusan ini mempelajari masyarakat, interaksi sosial, budaya, dan berbagai fenomena sosial. Mahasiswa belajar melakukan observasi, penelitian, dan analisis terhadap perubahan sosial di masyarakat. Jurusan ini cocok untuk kamu yang suka memahami masyarakat, komunikatif, observatif, kritis, suka penelitian, terbuka pada perbedaan, suka diskusi, analitis. Topik utama yang dipelajari antara lain: masyarakat, interaksi sosial, penelitian sosial, perubahan sosial, budaya, perilaku sosial, fenomena sosial, analisis sosial."
Jurnalistik,Sosial dan Humaniora,"Jurusan ini mempelajari teknik peliputan berita, penulisan media, dan penyampaian informasi kepada publik. Mahasiswa banyak melakukan wawancara, observasi, penulisan, dan produksi konten media.","komunikatif, suka menulis, penasaran, kritis, suka mencari informasi, kreatif, percaya diri, observatif","berita, wawancara, media massa, penulisan berita, peliputan, komunikasi publik, penyiaran, produksi media","Jurusan ini mempelajari teknik peliputan berita, penulisan media, dan penyampaian informasi kepada publik. Mahasiswa banyak melakukan wawancara, observasi, penulisan, dan produksi konten media. Jurusan ini cocok untuk kamu yang komunikatif, suka menulis, penasaran, kritis, suka mencari informasi, kreatif, percaya diri, observatif. Topik utama yang dipelajari antara lain: berita, wawancara, media massa, penulisan berita, peliputan, komunikasi publik, penyiaran, produksi media."
Antropologi,Sosial dan Humaniora,"Jurusan ini mempelajari budaya, perilaku manusia, dan kehidupan sosial masyarakat. Mahasiswa banyak melakukan observasi, penelitian, dan analisis terhadap berbagai fenomena sosial dan budaya.","suka memahami budaya, observatif, komunikatif, suka penelitian, terbuka terhadap perbedaan, kritis, suka interaksi sosial, suka analisis sosial","budaya masyarakat, etnografi, penelitian sosial, antropologi budaya, perilaku manusia, observasi lapangan, interaksi sosial, perubahan budaya","Jurusan ini mempelajari budaya, perilaku manusia, dan kehidupan sosial masyarakat. Mahasiswa banyak melakukan observasi, penelitian, dan analisis terhadap berbagai fenomena sosial dan budaya. Jurusan ini cocok untuk kamu yang suka memahami budaya, observatif, komunikatif, suka penelitian, terbuka terhadap perbedaan, kritis, suka interaksi sosial, suka analisis sosial. Topik utama yang dipelajari antara lain: budaya masyarakat, etnografi, penelitian sosial, antropologi budaya, perilaku manusia, observasi lapangan, interaksi sosial, perubahan budaya."
Hubungan Internasional,Sosial dan Humaniora,"Jurusan ini mempelajari hubungan antarnegara, diplomasi, organisasi internasional, dan isu global. Mahasiswa belajar menganalisis politik dunia, komunikasi internasional, dan kerja sama antarnegara.","komunikatif, tertarik isu global, suka bahasa asing, kritis, suka diskusi, analitis, percaya diri, suka diplomasi","diplomasi, politik internasional, organisasi internasional, hubungan antarnegara, kerja sama internasional, isu global, negosiasi, geopolitik","Jurusan ini mempelajari hubungan antarnegara, diplomasi, organisasi internasional, dan isu global. Mahasiswa belajar menganalisis politik dunia, komunikasi internasional, dan kerja sama antarnegara. Jurusan ini cocok untuk kamu yang komunikatif, tertarik isu global, suka bahasa asing, kritis, suka diskusi, analitis, percaya diri, suka diplomasi. Topik utama yang dipelajari antara lain: diplomasi, politik internasional, organisasi internasional, hubungan antarnegara, kerja sama internasional, isu global, negosiasi, geopolitik."
Ilmu Pemerintahan,Sosial dan Humaniora,"Jurusan ini mempelajari sistem pemerintahan, administrasi publik, dan kebijakan negara. Mahasiswa belajar memahami proses pengambilan keputusan serta pengelolaan pemerintahan dan pelayanan publik.","kritis, komunikatif, suka organisasi, tertarik kebijakan publik, suka diskusi, analitis, suka memimpin, peduli masyarakat","pemerintahan, administrasi publik, kebijakan publik, pelayanan masyarakat, birokrasi, politik pemerintahan, tata kelola, pembangunan daerah","Jurusan ini mempelajari sistem pemerintahan, administrasi publik, dan kebijakan negara. Mahasiswa belajar memahami proses pengambilan keputusan serta pengelolaan pemerintahan dan pelayanan publik. Jurusan ini cocok untuk kamu yang kritis, komunikatif, suka organisasi, tertarik kebijakan publik, suka diskusi, analitis, suka memimpin, peduli masyarakat. Topik utama yang dipelajari antara lain: pemerintahan, administrasi publik, kebijakan publik, pelayanan masyarakat, birokrasi, politik pemerintahan, tata kelola, pembangunan daerah."
Ilmu Komunikasi,Sosial dan Humaniora,"Jurusan ini mempelajari komunikasi media, hubungan publik, penyiaran, dan strategi penyampaian pesan. Mahasiswa banyak belajar membuat konten, presentasi, serta memahami komunikasi di berbagai media.","komunikatif, kreatif, percaya diri, suka berbicara, suka media, suka kerja tim, adaptif, suka membuat konten","media komunikasi, hubungan publik, penyiaran, komunikasi digital, public relations, produksi media, periklanan, strategi komunikasi","Jurusan ini mempelajari komunikasi media, hubungan publik, penyiaran, dan strategi penyampaian pesan. Mahasiswa banyak belajar membuat konten, presentasi, serta memahami komunikasi di berbagai media. Jurusan ini cocok untuk kamu yang komunikatif, kreatif, percaya diri, suka berbicara, suka media, suka kerja tim, adaptif, suka membuat konten. Topik utama yang dipelajari antara lain: media komunikasi, hubungan publik, penyiaran, komunikasi digital, public relations, produksi media, periklanan, strategi komunikasi."
Ilmu Sejarah,Sastra dan Budaya,"Jurusan ini mempelajari peristiwa masa lalu, perkembangan peradaban, dan perubahan sosial dari berbagai periode sejarah. Mahasiswa belajar menganalisis sumber sejarah, penelitian, dan memahami konteks budaya serta masyarakat.","suka sejarah, suka membaca, analitis, observatif, suka penelitian, kritis, teliti, tertarik budaya","sejarah dunia, sejarah Indonesia, penelitian sejarah, arsip sejarah, peradaban, historiografi, budaya, analisis sejarah","Jurusan ini mempelajari peristiwa masa lalu, perkembangan peradaban, dan perubahan sosial dari berbagai periode sejarah. Mahasiswa belajar menganalisis sumber sejarah, penelitian, dan memahami konteks budaya serta masyarakat. Jurusan ini cocok untuk kamu yang suka sejarah, suka membaca, analitis, observatif, suka penelitian, kritis, teliti, tertarik budaya. Topik utama yang dipelajari antara lain: sejarah dunia, sejarah Indonesia, penelitian sejarah, arsip sejarah, peradaban, historiografi, budaya, analisis sejarah."
Sastra,Sastra dan Budaya,"Jurusan ini mempelajari bahasa, karya sastra, budaya, dan komunikasi dalam berbagai bentuk tulisan maupun lisan. Mahasiswa banyak membaca, menulis, dan menganalisis karya sastra serta bahasa.","suka membaca, kreatif, komunikatif, suka menulis, kritis, tertarik budaya, imajinatif, observatif","karya sastra, linguistik, budaya, penulisan, analisis teks, bahasa, sastra modern, komunikasi","Jurusan ini mempelajari bahasa, karya sastra, budaya, dan komunikasi dalam berbagai bentuk tulisan maupun lisan. Mahasiswa banyak membaca, menulis, dan menganalisis karya sastra serta bahasa. Jurusan ini cocok untuk kamu yang suka membaca, kreatif, komunikatif, suka menulis, kritis, tertarik budaya, imajinatif, observatif. Topik utama yang dipelajari antara lain: karya sastra, linguistik, budaya, penulisan, analisis teks, bahasa, sastra modern, komunikasi."
Sastra Jawa,Sastra dan Budaya,"Jurusan ini mempelajari bahasa, sastra, dan budaya Jawa, termasuk naskah tradisional dan perkembangan budaya masyarakat Jawa. Mahasiswa belajar membaca, meneliti, dan melestarikan budaya daerah.","suka budaya daerah, suka membaca, teliti, tertarik bahasa, suka penelitian, observatif, komunikatif, suka sejarah","bahasa Jawa, sastra Jawa, budaya Jawa, aksara Jawa, naskah kuno, tradisi Jawa, linguistik daerah, kebudayaan","Jurusan ini mempelajari bahasa, sastra, dan budaya Jawa, termasuk naskah tradisional dan perkembangan budaya masyarakat Jawa. Mahasiswa belajar membaca, meneliti, dan melestarikan budaya daerah. Jurusan ini cocok untuk kamu yang suka budaya daerah, suka membaca, teliti, tertarik bahasa, suka penelitian, observatif, komunikatif, suka sejarah. Topik utama yang dipelajari antara lain: bahasa Jawa, sastra Jawa, budaya Jawa, aksara Jawa, naskah kuno, tradisi Jawa, linguistik daerah, kebudayaan."
